Date,City,Property_Price,Occupancy_Rate,Inflation_Rate,Population_Age_65+,Population_Age_65_Growth,Median_Age,Income_Level,Proximity_to_Healthcare,Walkability_Score,Crime_Rate,Property_Tax_Rate,Public_Transport_Access,Government_Incentives,Environmental_Quality,Senior_Living_Vacancy_Rate,Mental_Health_Programs,Memory_Care_Availability
2011-07-01,Toronto,1076545,87,1.84,54050,3.36,47,91832,5,60,4,2,0,0,61.84010568087011,5.407288023189701,1,1
2011-08-01,Toronto,1003247,82,1.29,17587,1.02,44,44634,5,75,7,1,1,1,80.12545034320351,13.564898411883222,1,0
2011-09-01,Toronto,919906,71,2.76,43998,3.32,46,83790,5,72,9,1,1,1,67.83164539157185,5.6936130087516545,0,0
2011-10-01,Toronto,776218,72,3.05,47919,3.03,40,52605,8,61,2,2,1,1,89.40284175215544,13.034809303848485,0,0
2011-11-01,Toronto,974729,95,2.24,56104,1.62,48,68206,9,67,8,2,0,1,80.21009489791429,13.264574661077416,0,1
2011-12-01,Toronto,879781,80,1.03,53242,3.35,46,58048,7,68,4,1,1,1,91.66316174903395,12.896181427945539,0,1
2012-01-01,Toronto,907580,81,3.66,43228,1.55,41,66194,7,54,2,2,0,1,88.24968908625985,5.813487806418998,0,1
2012-02-01,Toronto,843628,79,2.11,42816,2.83,46,56798,5,86,2,1,0,1,62.25213102727349,6.188179162680719,0,1
2012-03-01,Toronto,951935,94,2.12,65327,1.36,49,63361,2,72,10,2,1,1,78.18164259071094,11.275580800840634,1,1
2012-04-01,Toronto,901259,71,1.84,71898,1.33,42,47876,5,64,6,1,1,1,87.9264685607898,10.360963663441204,0,1
2012-05-01,Toronto,810159,93,3.47,54919,3.35,47,40197,9,85,1,1,1,1,99.49104517259778,6.504168911035282,1,1
2012-06-01,Toronto,1083146,94,3.53,48855,1.74,43,78567,2,85,8,2,1,1,90.75949660722043,14.44765729882428,1,0
2012-07-01,Toronto,793238,94,2.82,48576,1.19,47,36988,2,77,6,2,1,1,82.07627355097942,10.609379715353864,1,1
2012-08-01,Toronto,1027768,73,1.09,56454,2.61,42,80529,2,51,4,2,1,1,96.16634777974994,8.482554670233004,1,1
2012-09-01,Toronto,1062862,92,3.85,36199,0.94,49,34449,5,89,5,1,1,0,63.03453312434656,6.288797219106492,0,0
2012-10-01,Toronto,894445,73,2.92,44861,3.19,45,44112,7,57,3,1,0,0,67.08041937106987,5.887025337570556,0,1
2012-11-01,Toronto,844635,83,3.07,38021,0.62,48,49504,9,87,2,1,1,1,67.38084077425509,7.093493233367103,0,1
2012-12-01,Toronto,921398,85,2.11,66450,0.61,43,56264,7,86,6,2,0,1,81.30469065820093,7.424705036347296,0,1
2013-01-01,Toronto,835343,73,3.67,39185,2.28,47,59880,2,71,6,2,1,0,71.35103623194898,8.63082296398635,1,1
2013-02-01,Toronto,1047994,79,3.96,36014,0.81,42,68445,3,56,3,1,0,1,63.20934982646569,10.245113895702547,1,1
2013-03-01,Toronto,876105,94,3.6,40924,2.95,43,67514,9,72,6,1,1,0,72.94716945616975,9.254364386164168,1,0
2013-04-01,Toronto,802244,73,2.83,56386,0.96,45,35077,6,52,4,1,0,1,72.89415379898892,13.09874445854635,0,1
2013-05-01,Toronto,952980,82,2.24,64416,1.55,49,65567,9,57,2,2,1,1,65.59089506505158,12.952673118598902,0,0
2013-06-01,Toronto,839601,74,3.44,52898,1.58,49,91131,5,83,5,1,1,0,89.90437520705004,10.027203900924793,0,1
2013-07-01,Toronto,982941,93,2.87,27889,0.85,49,37821,2,82,7,2,1,1,66.06699518931005,8.117220677955483,0,1
2013-08-01,Toronto,1014375,71,2.71,54790,1.53,48,65005,2,84,2,1,1,0,69.17005580930567,12.222525683930662,1,1
2013-09-01,Toronto,941343,76,2.04,68768,1.04,49,33319,5,88,2,2,1,1,60.72440735283362,13.721239089441514,1,1
2013-10-01,Toronto,1049604,87,3.77,42095,2.23,46,67072,5,79,9,2,1,0,99.39364795849337,13.388980864459342,0,1
2013-11-01,Toronto,905572,85,2.2,60942,0.66,43,44818,6,87,4,1,1,1,68.98419291759927,9.524395161326934,0,0
2013-12-01,Toronto,734514,82,2.26,47691,2.24,46,70443,1,77,3,2,0,1,63.413986723145754,14.968742518459473,1,1
2014-01-01,Toronto,901393,75,3.69,49759,1.12,42,59509,6,53,8,1,1,1,76.03052243501304,10.59640331308218,0,0
2014-02-01,Toronto,845658,92,3.84,35925,2.43,44,48333,1,56,7,2,0,0,69.24299186352286,11.718927435987284,0,0
2014-03-01,Toronto,847548,86,1.71,54894,0.8,42,70664,8,66,7,1,0,1,60.52007694042944,5.85508530854468,0,0
2014-04-01,Toronto,944426,75,2.75,59240,2.95,43,57226,3,65,6,1,1,1,82.0818872340792,9.361265291353167,0,1
2014-05-01,Toronto,845508,92,2.46,53991,3.18,48,54546,3,72,7,1,0,1,99.37608722814208,10.256901823026858,0,0
2014-06-01,Toronto,894305,70,3.74,51958,1.32,46,45324,7,83,3,1,0,1,94.95560310250062,10.974131021703084,1,1
2014-07-01,Toronto,715913,83,1.14,37204,1.0,47,62802,3,66,4,1,1,0,82.65618561187588,9.760504021990997,1,1
2014-08-01,Toronto,824462,88,1.64,44244,1.99,46,61830,4,81,2,1,1,1,87.53609585710944,9.348273386037462,0,1
2014-09-01,Toronto,963241,77,2.77,59726,1.58,41,58883,3,72,9,2,1,1,87.6910625807141,13.491956515653193,0,1
2014-10-01,Toronto,962067,76,3.96,54296,1.04,46,63115,9,51,7,1,1,1,97.77065956453735,9.742142166574638,1,1
2014-11-01,Toronto,993828,71,2.79,44840,1.19,41,63332,4,79,2,1,1,1,72.7501001172828,11.25891376437009,1,1
2014-12-01,Toronto,852125,76,1.07,50823,3.32,48,75982,10,64,8,1,1,1,94.94708456745354,14.840834691992951,1,1
2015-01-01,Toronto,1057957,76,1.33,44771,1.56,43,44938,1,51,10,1,1,1,68.73015551460257,14.499611839502254,1,0
2015-02-01,Toronto,823220,80,3.64,49505,2.34,42,70122,10,59,9,2,1,1,69.22679246871034,6.765280320055083,0,0
2015-03-01,Toronto,836261,71,3.91,61890,3.15,49,81308,7,56,8,1,0,1,83.71759739366813,10.800862078378112,0,1
2015-04-01,Toronto,842925,77,1.39,52859,2.47,46,65017,2,66,4,1,1,1,63.24184863630592,7.201832019498113,1,0
2015-05-01,Toronto,898358,82,2.78,61884,2.97,43,70228,3,85,8,2,1,1,88.3345190686014,13.37013328363672,1,1
2015-06-01,Toronto,1084671,85,3.26,48329,1.51,47,62201,2,83,8,2,0,0,84.67707673502969,14.811861780274235,1,0
2015-07-01,Toronto,964548,89,1.32,71633,2.78,45,58571,7,87,2,2,1,0,72.03854267787266,12.081720886452816,0,1
2015-08-01,Toronto,927902,79,2.86,44411,2.77,40,65658,1,63,5,2,1,1,70.94506665126664,14.971245001577111,1,1
2015-09-01,Toronto,944001,87,1.66,44979,0.75,47,40795,10,56,5,2,1,1,75.90377591851177,7.7421520234867005,1,1
2015-10-01,Toronto,987246,92,1.69,37485,3.09,45,81656,10,57,9,2,1,1,90.44095963771996,11.262203216314154,0,0
2015-11-01,Toronto,919652,90,2.44,57090,0.85,41,49854,3,70,2,2,0,1,72.41447835694295,9.552201490818012,0,0
2015-12-01,Toronto,1080094,80,2.44,34161,2.58,49,71406,8,52,5,1,0,1,65.69982171606053,9.98888153451356,1,1
2016-01-01,Toronto,877904,78,2.55,50269,0.76,44,44976,6,78,8,1,0,0,85.45720998174546,12.064757264869012,0,1
2016-02-01,Toronto,871890,71,2.62,56982,2.64,48,65902,4,83,2,2,1,1,78.092731380732,11.435776951965249,1,1
2016-03-01,Toronto,834858,92,1.66,45161,3.43,43,67843,7,70,6,2,0,1,98.99172648587133,11.50325686346937,0,1
2016-04-01,Toronto,842630,72,1.09,47426,3.1,47,34971,8,67,4,1,1,0,94.68125984489794,10.786754085723935,1,1
2016-05-01,Toronto,1007868,93,2.27,49615,1.33,46,82148,8,55,7,2,0,0,98.85580376166558,6.809769527094898,1,1
2016-06-01,Toronto,1038009,76,3.61,57717,1.58,46,17272,2,66,10,1,1,0,90.93892502746402,6.308736607183498,1,1
2016-07-01,Toronto,907682,78,3.49,37170,1.79,42,82511,3,57,1,2,1,1,93.76681795876789,13.056701529500533,1,1
2016-08-01,Toronto,985022,75,1.34,49284,2.09,49,59442,1,55,5,2,1,1,61.662914362015684,6.483432009620889,1,1
2016-09-01,Toronto,991633,81,2.55,53465,1.97,47,76623,3,77,10,1,1,1,94.72569017510021,6.771497894473859,1,1
2016-10-01,Toronto,796009,94,3.05,74034,3.11,46,59136,1,87,7,2,0,1,75.75457622616634,11.51232977041492,0,1
2016-11-01,Toronto,893586,92,3.35,53288,2.2,47,56338,4,77,8,2,1,1,92.71336864700086,6.202090553706085,1,0
2016-12-01,Toronto,996409,78,2.1,65945,1.67,44,47296,3,65,3,1,1,1,84.77961384038458,9.634940438005724,0,1
2017-01-01,Toronto,650059,71,2.02,72909,1.64,44,75339,6,81,8,2,1,0,67.83111942734185,5.075628749781421,1,1
2017-02-01,Toronto,1143975,76,3.78,42460,1.96,43,55790,4,62,8,2,1,1,88.64602696892774,7.7262400073353374,1,0
2017-03-01,Toronto,955005,75,2.58,40317,2.63,41,36105,10,69,8,2,0,1,98.05613368826627,11.016118201463312,1,1
2017-04-01,Toronto,944047,76,1.64,35974,3.02,49,86244,4,59,8,1,1,1,86.70199597165882,5.955353138346682,1,1
2017-05-01,Toronto,781240,88,3.59,53098,1.15,41,60657,6,72,3,1,1,1,99.51142080859549,6.364397525567331,1,1
2017-06-01,Toronto,885300,81,3.15,55690,1.32,41,84426,2,86,3,1,0,0,62.77695370984374,10.190597909082705,0,1
2017-07-01,Toronto,923379,92,2.95,34441,2.1,43,78415,10,76,6,2,1,0,82.4918726351164,14.576252845053801,0,1
2017-08-01,Toronto,779036,75,2.61,48888,2.77,43,46441,7,82,9,1,1,0,99.69934008633501,14.270009679242953,1,1
2017-09-01,Toronto,1131933,72,3.27,53933,0.88,48,70622,1,62,3,1,0,1,82.15208962849505,8.055243106580235,0,1
2017-10-01,Toronto,995670,85,2.55,49939,3.48,49,72577,3,87,2,2,1,1,94.72226760429801,13.059254001176212,1,1
2017-11-01,Toronto,882504,74,3.08,42443,1.54,50,76288,2,84,9,1,1,1,66.9935450904165,10.025660764634424,0,0
2017-12-01,Toronto,947470,79,1.2,50566,3.4,44,67945,4,70,5,1,1,0,84.78351819591319,11.502010923981533,0,0
2018-01-01,Toronto,878656,71,3.98,64907,0.67,47,50799,7,52,6,2,1,1,72.25014483146447,11.238958362916385,1,1
2018-02-01,Toronto,869753,73,3.66,36331,1.6,44,56629,8,79,8,1,1,1,60.76769107292227,7.598132087450342,1,0
2018-03-01,Toronto,752109,70,1.72,51834,3.43,48,59770,2,72,5,2,0,1,66.00194658775936,8.2467592689006,1,1
2018-04-01,Toronto,957929,79,2.18,64712,3.18,50,56860,8,63,7,1,0,1,61.537053958493,14.017619921354235,1,1
2018-05-01,Toronto,974210,86,2.84,52993,0.7,45,66900,6,77,1,1,1,0,62.85026911061034,5.1210847523488745,1,1
2018-06-01,Toronto,832228,79,1.89,62004,2.48,42,50147,3,54,7,2,0,0,63.28686669905709,14.678600348450304,0,1
2018-07-01,Toronto,757819,75,1.36,65013,2.35,48,66838,1,89,8,1,1,1,83.29690632828985,12.480731794295322,1,1
2018-08-01,Toronto,1116500,73,2.01,39552,1.82,46,30505,9,60,2,1,1,1,71.4362715695664,13.159469389686173,1,1
2018-09-01,Toronto,883288,89,2.38,52826,3.03,47,69943,3,72,10,2,0,0,65.26915093818248,12.259799099852955,1,0
2018-10-01,Toronto,1017347,83,3.52,53088,2.27,45,85533,4,73,7,2,1,1,66.40286539818293,9.615574744197898,0,0
2018-11-01,Toronto,879098,90,1.61,41495,2.17,47,42062,4,81,6,1,1,0,89.82935130924929,7.024805601652374,1,1
2018-12-01,Toronto,944460,78,1.45,57224,3.49,44,54408,5,79,9,2,1,1,87.82472585987227,5.032182636042787,1,1
2019-01-01,Toronto,844814,86,1.19,75582,2.24,46,90923,7,82,3,2,1,0,62.342037169759166,8.342383186960607,1,1
2019-02-01,Toronto,1020837,90,2.55,38583,1.48,44,57095,2,59,6,2,1,1,85.70260798140765,9.21248053294072,1,1
2019-03-01,Toronto,877352,91,2.15,40406,2.22,46,52667,4,51,1,2,0,1,71.94902294355091,14.406792451153406,0,1
2019-04-01,Toronto,788038,92,3.53,55136,1.87,45,52009,2,53,8,1,1,1,90.6205159596444,6.589081676693535,1,0
2019-05-01,Toronto,976608,94,1.21,62269,0.67,43,46830,9,60,3,2,1,1,62.61464630257541,9.875711936733843,0,0
2019-06-01,Toronto,817312,93,1.42,25758,1.54,49,73261,1,77,10,2,1,0,76.75173276296645,7.601577909620511,1,1
2019-07-01,Toronto,979426,75,2.7,37457,1.89,50,35773,2,56,3,1,1,1,80.93563645497466,6.147688718692175,1,1
2019-08-01,Toronto,1016474,72,3.12,41724,1.87,45,61292,2,88,9,2,1,1,86.03893868603816,10.454318694069055,0,1
2019-09-01,Toronto,881710,71,3.36,63749,1.1,43,52759,8,71,3,2,1,1,69.55184845526156,9.51239344180988,1,1
2019-10-01,Toronto,804667,71,1.2,58831,2.12,45,58832,2,76,8,1,1,1,68.15065836510756,10.233296311947413,0,1
2019-11-01,Toronto,1087330,90,2.19,60800,3.25,45,67271,8,63,9,2,0,1,65.62846112195034,7.0201566840249,0,1
2019-12-01,Toronto,815364,86,1.46,70625,0.75,49,43987,8,70,10,1,1,1,85.38685093015766,6.65954895295785,1,1
2020-01-01,Toronto,1018739,88,3.67,75896,0.74,47,65077,8,72,7,1,1,1,78.37060788692855,8.577982653254418,1,1
2020-02-01,Toronto,870460,78,1.52,58406,0.8,42,68201,2,64,5,2,1,1,74.09499786438617,13.4144755308476,1,1
2020-03-01,Toronto,809630,87,1.98,53244,2.56,41,64249,3,83,4,2,1,1,72.21242706786926,7.126443763710961,0,1
2020-04-01,Toronto,874110,86,3.81,53506,2.87,47,67338,3,86,7,2,0,1,78.41433084807704,13.645636095226699,1,1
2020-05-01,Toronto,846467,88,3.75,49095,1.34,49,67697,8,82,1,2,1,0,93.17578659435388,7.8152119841492995,1,0
2020-06-01,Toronto,874045,88,2.62,47765,0.54,45,54760,4,74,4,1,1,0,96.11579980767948,13.522638743911815,1,1
2020-07-01,Toronto,889555,90,1.1,48312,2.25,50,61051,2,83,6,1,0,1,86.76801051752314,13.292867993167555,1,1
2020-08-01,Toronto,1016188,83,2.29,43459,2.82,46,32541,9,68,6,2,1,1,69.49733873499225,10.123637775457906,0,1
2020-09-01,Toronto,1117094,94,2.8,48241,2.73,45,50660,3,64,5,1,0,0,98.86130763604203,8.313470071030508,1,0
2020-10-01,Toronto,919461,85,1.84,50824,0.52,40,38137,3,51,2,1,1,1,80.50670903825666,7.934888232081216,1,1
2020-11-01,Toronto,921320,73,2.04,42480,2.02,49,88518,10,55,3,1,1,1,96.30444010226219,12.140326444668563,1,1
2020-12-01,Toronto,893934,91,3.87,45169,1.27,41,62202,6,77,2,1,1,0,64.84100001940772,9.189477901874755,1,0
2021-01-01,Toronto,877514,94,3.01,43500,2.54,44,58521,7,87,7,2,1,0,96.09813229143367,5.664438443557749,1,0
2021-02-01,Toronto,901885,70,2.27,48715,2.23,40,31772,2,72,4,2,1,1,87.69971306676901,9.299310773901482,1,0
2021-03-01,Toronto,1000058,81,3.4,43294,2.97,49,57985,4,73,4,2,1,1,74.98211548080485,6.668602016987528,1,0
2021-04-01,Toronto,981081,92,2.04,63103,1.52,41,80935,5,62,7,2,1,0,99.52143864622367,9.540016211961149,1,0
2021-05-01,Toronto,852616,83,3.89,49855,1.65,40,58675,2,51,8,1,0,1,64.64555840802103,14.559188289553193,0,1
2021-06-01,Toronto,862999,85,3.48,48927,1.66,43,66716,6,56,6,2,1,1,77.61765401249696,8.023332493514937,0,0
2021-07-01,Toronto,883186,77,3.9,45279,2.17,43,43909,5,75,5,1,1,1,84.9362383263776,10.693773611822827,1,0
2021-08-01,Toronto,923925,80,1.12,76443,1.18,50,37455,9,79,6,2,0,1,64.99283255867394,12.942106625494054,0,1
2021-09-01,Toronto,937710,82,3.59,49707,2.27,44,46414,8,65,6,1,1,1,99.22957374333717,9.07584208573817,1,1
2021-10-01,Toronto,834623,84,3.87,48027,3.06,44,57731,9,86,2,2,1,1,85.06370044372841,14.263826067300867,0,1
2021-11-01,Toronto,1012411,87,1.4,59475,1.4,44,50599,3,88,1,2,1,1,71.78477585384772,5.1431527766706,1,1
2021-12-01,Toronto,986239,89,1.43,58004,2.48,48,71314,9,75,2,1,0,1,76.28425956502511,5.660098441402416,0,0
2022-01-01,Toronto,710639,72,2.5,52133,2.88,47,35887,3,61,8,2,1,1,72.85982804991528,9.764369863437917,0,1
2022-02-01,Toronto,823728,94,2.81,63607,0.87,49,40368,6,68,6,2,0,1,69.67726721262119,12.139526325065898,1,1
2022-03-01,Toronto,1006021,74,3.33,77597,1.31,45,49579,7,52,8,1,0,1,61.87407634110413,7.761695578208995,1,0
2022-04-01,Toronto,859072,91,1.01,58251,1.45,41,46993,4,61,9,1,1,1,77.35269678306118,14.09943143854392,0,1
2022-05-01,Toronto,926536,82,2.16,44172,2.4,47,74481,10,80,10,2,0,0,91.27295453379742,11.441492214759158,0,1
2022-06-01,Toronto,1023613,94,2.5,35561,1.13,44,25557,4,52,8,1,1,1,68.47976218794632,11.573534821701285,1,1
2022-07-01,Toronto,967048,85,1.89,39281,0.91,47,46955,7,66,7,1,1,0,74.71143951024612,5.580919520803498,0,1
2022-08-01,Toronto,1012543,77,3.51,47714,1.98,44,45085,6,74,1,1,1,1,87.10169069835813,8.118638579168831,1,1
2022-09-01,Toronto,943848,73,1.05,50196,2.81,48,54689,1,62,8,2,1,0,60.05414502861873,7.998005275652359,1,1
2022-10-01,Toronto,842640,91,1.07,51733,2.84,45,63659,5,62,2,1,0,1,89.89777626386775,9.738098283979467,0,1
2022-11-01,Toronto,902089,94,1.23,52307,1.6,42,54372,7,81,6,1,1,1,75.52662824507982,11.74130295536063,0,1
2022-12-01,Toronto,868228,93,1.87,59873,2.62,41,58861,2,50,7,1,0,1,81.18638895782479,7.418932941128892,1,1
2023-01-01,Toronto,880996,90,2.38,46426,2.14,44,38641,1,84,10,2,1,0,98.42507902052799,6.969257044534284,1,1
2023-02-01,Toronto,873335,88,3.94,34019,1.81,46,66933,2,75,10,1,1,1,97.74806371280883,14.601356044054473,1,1
2023-03-01,Toronto,835851,82,3.15,54879,1.24,46,45653,6,81,5,1,0,0,97.04776273727128,7.286767796036088,1,0
2023-04-01,Toronto,947241,78,3.54,45300,1.79,40,63988,5,76,2,1,1,1,99.73020061691855,5.449112989956158,1,1
2023-05-01,Toronto,1041960,93,3.85,43996,2.23,44,49731,6,64,7,1,0,1,64.07214731798148,10.059579077349316,0,0
2023-06-01,Toronto,979063,71,1.53,45930,3.35,46,70295,5,73,6,2,0,0,95.76377210133003,14.464565131504054,1,1
2023-07-01,Toronto,887245,82,1.61,65112,2.27,42,73303,3,53,2,2,1,1,92.43514324031673,13.35825927910516,0,1
2023-08-01,Toronto,857924,89,2.96,32214,1.78,40,64795,2,81,1,1,1,0,98.92312651889331,7.261253312496719,0,1
2023-09-01,Toronto,967937,89,3.55,38512,1.77,43,77912,8,57,4,2,1,1,90.16993038728323,8.931952010279222,1,1
2023-10-01,Toronto,801883,72,2.63,41696,2.84,46,67838,10,52,3,2,0,1,90.36021130087724,6.025159640664745,1,1
2023-11-01,Toronto,960672,91,3.09,48168,2.64,45,63451,8,84,3,2,0,0,73.4244181707937,14.785254683891406,1,1
2023-12-01,Toronto,949774,88,2.69,49944,1.64,42,70031,8,79,4,1,1,0,88.14799118516204,14.70257109726057,1,0
2010-01-01,Ottawa,989038,84,3.9,55752,0.66,45,70482,3,82,6,1,0,1,66.29092832718861,8.097878592090993,0,1
2010-02-01,Ottawa,942097,87,3.39,56836,2.22,48,39511,9,50,7,1,1,0,72.27106398088564,8.529585034523565,1,1
2010-03-01,Ottawa,837074,72,3.35,65337,1.36,44,43252,2,65,10,2,1,1,67.95968555837747,9.1833386410228,1,0
2010-04-01,Ottawa,1023581,77,1.83,53438,0.7,45,59270,3,89,2,1,1,1,76.9091454757573,8.465241679527182,0,0
2010-05-01,Ottawa,891656,77,1.86,35504,2.47,50,49174,2,88,4,1,1,1,85.94019280474753,7.674020278575413,0,1
2010-06-01,Ottawa,917682,76,3.03,58188,1.44,43,83069,6,85,10,1,0,1,89.4614091333917,13.829938248297731,0,1
2010-07-01,Ottawa,1004732,80,1.05,61696,2.25,43,68581,5,84,3,2,1,0,60.332797689087684,9.335827926326143,0,1
2010-08-01,Ottawa,893781,93,2.3,45632,2.67,40,35901,6,75,7,1,1,0,67.97081345867203,13.77470046654482,1,0
2010-09-01,Ottawa,821623,77,1.74,43095,0.69,45,70231,7,53,10,2,1,1,97.30842032531045,10.442539661136976,0,1
2010-10-01,Ottawa,1048725,89,3.21,42367,1.61,49,60569,6,72,3,1,1,1,91.49548107009332,9.543454230676552,1,0
2010-11-01,Ottawa,839414,81,2.95,67194,3.31,41,51757,5,51,4,2,0,1,97.08442515433708,6.053932181078052,1,1
2010-12-01,Ottawa,985959,86,1.78,47210,0.71,42,55804,7,85,8,2,0,0,72.39227501289876,7.499569463976212,1,1
2011-01-01,Ottawa,764893,91,3.37,36775,1.42,49,58118,4,70,9,2,0,0,82.13484758999087,10.0313247255154,0,1
2011-02-01,Ottawa,932788,87,3.51,54201,1.82,46,69103,2,77,3,2,0,0,66.6113796057183,5.0199213521907025,1,1
2011-03-01,Ottawa,775428,72,1.06,50549,1.0,49,49356,2,59,6,2,0,0,75.64131476509594,7.342033709263341,0,1
2011-04-01,Ottawa,774150,85,2.67,34140,2.12,47,31801,7,57,6,1,1,1,81.30016265663927,6.153946421789174,1,0
2011-05-01,Ottawa,810465,87,1.62,45919,1.68,49,60574,5,51,8,1,1,1,85.13705826458349,11.886316293078757,0,0
2011-06-01,Ottawa,755141,88,2.61,53721,3.03,45,65837,4,82,5,1,1,1,78.6523902456068,5.756997273097875,0,1
2011-07-01,Ottawa,895718,72,3.63,50580,1.67,45,50899,4,82,5,2,1,0,68.80445303619013,8.505205342861618,0,0
2011-08-01,Ottawa,921128,79,2.39,58971,2.63,40,79123,3,76,5,1,1,1,81.9367665197425,5.664633257762722,1,1
2011-09-01,Ottawa,970451,90,2.55,57891,0.92,47,81051,3,58,9,2,1,1,83.88621223961208,11.541327370278736,1,1
2011-10-01,Ottawa,969790,86,1.47,68093,1.31,42,56729,4,60,3,1,1,1,67.51681523261293,5.769716693808741,1,1
2011-11-01,Ottawa,951079,90,1.82,60306,2.58,43,62578,4,61,3,2,0,1,70.5854010770143,11.619689447938686,1,1
2011-12-01,Ottawa,955325,89,1.56,52604,1.61,44,51917,1,60,1,2,0,1,61.55917282644522,11.66847391305658,0,1
2012-01-01,Ottawa,867055,93,3.99,57319,2.98,48,67039,2,54,10,1,1,1,94.32093084028917,14.976282974021565,0,0
2012-02-01,Ottawa,746443,80,1.39,49607,2.85,46,57983,4,76,3,1,1,1,90.49210498003839,5.389380166876656,1,1
2012-03-01,Ottawa,1101227,92,2.76,60237,2.24,50,54729,7,66,3,2,1,1,73.6762111242196,10.27677466221695,0,1
2012-04-01,Ottawa,1056341,95,2.95,56255,2.28,41,73278,5,77,7,1,1,0,80.01437784862242,11.908839765508228,1,1
2012-05-01,Ottawa,825752,86,2.8,45147,1.04,47,89806,9,57,1,2,1,1,93.5261989995457,13.028109348245005,1,1
2012-06-01,Ottawa,846903,82,2.21,52413,1.33,49,42735,6,74,4,1,0,1,63.382615123889515,11.068469555401391,1,1
2012-07-01,Ottawa,786938,92,3.66,56227,1.09,47,73430,10,51,9,2,1,1,93.89551722285495,5.623940685982772,0,0
2012-08-01,Ottawa,836842,94,3.45,47941,0.71,42,48801,3,69,3,1,0,0,98.92307191649193,12.592925069184737,1,1
2012-09-01,Ottawa,987452,78,1.9,43502,1.2,41,48450,7,53,3,2,0,0,94.5863568743256,6.549253111434426,0,1
2012-10-01,Ottawa,770388,78,2.69,46404,2.24,45,64517,2,75,3,1,0,1,72.25853872171281,13.223812111853544,0,1
2012-11-01,Ottawa,1073885,84,3.0,46788,2.83,49,65907,9,90,9,1,0,1,89.66565807344169,9.925690707532976,1,1
2012-12-01,Ottawa,707233,79,3.58,32961,1.86,48,46133,2,58,10,1,1,1,79.58497848200979,11.447452485768185,0,1
2013-01-01,Ottawa,1047693,74,2.71,38322,1.06,43,50882,8,61,9,2,1,0,74.98192973518326,12.97732263348214,0,0
2013-02-01,Ottawa,846088,84,3.54,44688,2.52,42,67258,3,85,3,1,0,1,91.7037925283654,11.27328935090678,1,0
2013-03-01,Ottawa,691297,72,2.46,44154,3.26,40,45952,3,86,5,1,1,0,79.49061416400204,9.299852141210597,1,1
2013-04-01,Ottawa,833222,89,2.19,46150,0.59,42,65745,4,70,7,2,1,1,62.009720392919284,5.3491155265622385,1,1
